,text,sentiment,n_pos_words,n_neg_words
7312,"the lady and the duke is a smart , romantic drama that dares to depict the french revolution from the aristocrats' perspective .",pos,3,1
3842,"a sensual performance from abbass buoys the flimsy story , but her inner journey is largely unexplored and we're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",neg,0,2
6726,fear dot com is so rambling and disconnected it never builds any suspense .,neg,0,1
5401,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,pos,2,0
685,"a highly spirited , imaginative kid's movie that broaches neo-augustinian theology : is god stuck in heaven because he's afraid of his best-known creation ?",pos,4,1
4375,"looking aristocratic , luminous yet careworn in jane hamilton's exemplary costumes , rampling gives a performance that could not be improved upon .",pos,4,0
947,"director chris wedge and screenwriters michael berg , michael j . wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time .",pos,2,2
1953,"seeing seinfeld at home as he watches his own appearance on letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .",pos,2,0
2645,"the first hour is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie .",neg,4,1
7191,"watching "" ending "" is too often like looking over the outdated clothes and plastic knickknacks at your neighbor's garage sale . you can't believe anyone would really buy this stuff .",neg,1,2
945,"has nothing good to speak about other than the fact that it is relatively short , tries its best to hide the fact that seagal's overweight and out of shape .",neg,2,0
4278,you're too conscious of the effort it takes to be this spontaneous .,neg,0,1
510,"the new faces are interesting , but the old story isn't , especially when it starts to seem more improvised than scripted .",neg,2,0
3604,"a puzzle whose pieces do not fit . some are fascinating and others are not , and in the end , it is almost a good movie .",neg,3,1
834,"while i can't say it's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie .",pos,2,2
234,"worth seeing once , but its charm quickly fades .",neg,2,0
6343,"the problem is the needlessly poor quality of its archival prints and film footage . the images lack contrast , are murky and are frequently too dark to be decipherable .",neg,0,7
3868,"argento , at only 26 , brings a youthful , out-to-change-the-world aggressiveness to the project , as if she's cut open a vein and bled the raw film stock .",pos,2,2
664,"for a film about two mismatched buddies , crystal and de niro share little screen time and even less chemistry .",neg,1,2
2854," at its best , it's black hawk down with more heart . at its worst , it's rambo- meets-john ford .",neg,2,3
1477,offers enough playful fun to entertain the preschool set while embracing a wholesome attitude .,pos,4,1
3694,"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",pos,4,2
2288,"in between all the emotional seesawing , it's hard to figure the depth of these two literary figures , and even the times in which they lived . but they fascinate in their recklessness .",pos,2,3
3177,every sequel you skip will be two hours gained . consider this review life-affirming .,neg,1,0
7154,the cartoon that isn't really good enough to be on afternoon tv is now a movie that isn't really good enough to be in theaters .,neg,2,1
4128,"like a comedian who starts off promisingly but then proceeds to flop , comedian runs out of steam after a half hour .",neg,1,0
3685,the movie gets muted and routine .,neg,0,0
333,"like all of egoyan's work , ararat is fiercely intelligent and uncommonly ambitious .",pos,4,0
974,"in exactly 89 minutes , most of which passed as slowly as if i'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .",neg,0,2
3287,a domestic melodrama with weak dialogue and biopic cliches .,neg,0,1
6077,"entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !",pos,3,1
817,"nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .",pos,3,0
3002,"one of those staggeringly well-produced , joylessly extravagant pictures that keep whooshing you from one visual marvel to the next , hastily , emptily .",neg,1,2
5120,comes across as a fairly weak retooling .,neg,1,1
786,"just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation .",neg,1,2
7276,"cho's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience . her delivery and timing are flawless .",pos,2,1
6625,"this road movie gives you emotional whiplash , and you'll be glad you went along for the ride .",pos,1,1
1739,there is so much plodding sensitivity .,neg,1,0
1570,"[the digital effects] reminded me of terry gilliam's rudimentary old monty python cartoons , in which he would cut out figures from drawings and photographs and paste them together .",pos,0,1
7284,"deuces wild treads heavily into romeo and juliet/west side story territory , where it plainly has no business going .",neg,1,2
4885,the director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut .,pos,2,0
1338,"adrift , bentley and hudson stare and sniffle , respectively , as ledger attempts , in vain , to prove that movie-star intensity can overcome bad hair design .",neg,0,4
3403,"the best comedy concert movie i've seen since cho's previous concert comedy film , i'm the one that i want , in 2000 .",pos,2,2
4303,has the marks of a septuagenarian ; it's a crusty treatment of a clever gimmick .,neg,1,0
6727,"as blunt as it is in depicting child abuse , el bola is a movie steeped in an ambiguity that lends its conflicts a symbolic resonance .",pos,0,3
1160,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroin",neg,2,1
2352,"a clumsily manufactured exploitation flick , a style-free exercise in manipulation and mayhem .",neg,0,2
1290,"if you're in the right b-movie frame of mind , it may just scare the pants off you .",pos,2,2
2971,"though there are many tense scenes in trapped , they prove more distressing than suspenseful .",neg,0,2
26,"like an afterschool special with costumes by gianni versace , mad love looks better than it feels .",neg,4,1
3035,evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good .,pos,2,3
5907,"if this movie leaves you cool , it also leaves you intriguingly contemplative .",pos,1,0
3389,"in addition to hoffman's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",pos,4,1
