text,sentiment,n_pos_words,n_neg_words
"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one .",pos,0,0
"well-acted , well-directed and , for all its moodiness , not too pretentious .",pos,0,0
gaping plot holes sink this 'sub'-standard thriller and drag audience enthusiasm to crush depth .,neg,0,0
"mr . deeds is , as comedy goes , very silly -- and in the best way .",pos,1,0
"humorless , self-conscious art drivel , made without a glimmer of intelligence or invention .",neg,0,0
"often gruelling and heartbreaking to witness , but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie .",pos,0,0
the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst .,pos,0,0
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .",neg,0,0
"tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience .",pos,2,0
"[it's] a prison soccer movie starring charismatic tough guy vinnie jones , but it had too much spitting for me to enjoy .",neg,0,0
"bisset delivers a game performance , but she is unable to save the movie .",neg,0,0
australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,pos,0,0
so unique and stubborn and charismatic that you want it to be better and more successful than it is .,pos,0,0
a fairly enjoyable mixture of longest yard . . . and the 1999 guy ritchie caper lock stock and two smoking barrels .,pos,0,0
completely creatively stillborn and executed in a manner that i'm not sure could be a single iota worse . . . a soulless hunk of exploitative garbage .,neg,0,0
"the genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates .",pos,1,0
"though nijinsky's words grow increasingly disturbed , the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature .",pos,0,0
another useless recycling of a brutal mid-'70s american sports movie .,neg,0,0
"a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships .",pos,0,0
"if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive-ins .",neg,0,0
"i believe silberling had the best intentions here , but he just doesn't have the restraint to fully realize them .",neg,1,0
"the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind--maybe too much .",neg,0,0
the one not-so-small problem with expecting is that the entire exercise has no real point .,neg,0,0
"flavorful and romantic , you could call this how martha got her groove back -- assuming , that is , she ever had one to begin with .",pos,0,0
there's no getting around the fact that this is revenge of the nerds revisited -- again .,neg,0,0
"the problem is that for the most part , the film is deadly dull .",neg,0,0
"like an afterschool special with costumes by gianni versace , mad love looks better than it feels .",neg,1,0
"a gripping movie , played with performances that are all understated and touching .",pos,0,0
 . . . a guiltless film for nice evening out .,pos,1,0
the movie's biggest shocks come from seeing former nymphette juliette lewis playing a salt-of-the-earth mommy named minnie and watching slim travel incognito in a ridiculous wig no respectable halloween costume shop would ever try to sell .,neg,0,1
bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid .,pos,0,0
vereté has a whip-smart sense of narrative bluffs .,pos,0,0
"it's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .",neg,0,0
i've heard that the fans of the first men in black have come away hating the second one . i wonder why . they felt like the same movie to me .,neg,0,0
