sentiment,text
pos,"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one ."
pos,"well-acted , well-directed and , for all its moodiness , not too pretentious ."
neg,gaping plot holes sink this 'sub'-standard thriller and drag audience enthusiasm to crush depth .
pos,"mr . deeds is , as comedy goes , very silly -- and in the best way ."
neg,"humorless , self-conscious art drivel , made without a glimmer of intelligence or invention ."
pos,"often gruelling and heartbreaking to witness , but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie ."
pos,the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst .
neg,"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down ."
pos,"tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience ."
neg,"[it's] a prison soccer movie starring charismatic tough guy vinnie jones , but it had too much spitting for me to enjoy ."
neg,"bisset delivers a game performance , but she is unable to save the movie ."
pos,australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .
pos,so unique and stubborn and charismatic that you want it to be better and more successful than it is .
pos,a fairly enjoyable mixture of longest yard . . . and the 1999 guy ritchie caper lock stock and two smoking barrels .
neg,completely creatively stillborn and executed in a manner that i'm not sure could be a single iota worse . . . a soulless hunk of exploitative garbage .
pos,"the genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates ."
pos,"though nijinsky's words grow increasingly disturbed , the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature ."
neg,another useless recycling of a brutal mid-'70s american sports movie .
pos,"a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships ."
neg,"if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive-ins ."
neg,"i believe silberling had the best intentions here , but he just doesn't have the restraint to fully realize them ."
neg,"the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind--maybe too much ."
neg,the one not-so-small problem with expecting is that the entire exercise has no real point .
pos,"flavorful and romantic , you could call this how martha got her groove back -- assuming , that is , she ever had one to begin with ."
neg,there's no getting around the fact that this is revenge of the nerds revisited -- again .
neg,"the problem is that for the most part , the film is deadly dull ."
neg,"like an afterschool special with costumes by gianni versace , mad love looks better than it feels ."
pos,"a gripping movie , played with performances that are all understated and touching ."
pos, . . . a guiltless film for nice evening out .
neg,the movie's biggest shocks come from seeing former nymphette juliette lewis playing a salt-of-the-earth mommy named minnie and watching slim travel incognito in a ridiculous wig no respectable halloween costume shop would ever try to sell .
pos,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid .
pos,vereté has a whip-smart sense of narrative bluffs .
neg,"it's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one ."
neg,i've heard that the fans of the first men in black have come away hating the second one . i wonder why . they felt like the same movie to me .
pos,"this english-language version . . . does full honor to miyazaki's teeming and often unsettling landscape , and to the conflicted complexity of his characters ."
neg,"i don't mind having my heartstrings pulled , but don't treat me like a fool ."
pos,"the cast . . . keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired ."
pos,"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images ."
neg,"i didn't find much fascination in the swinging . what they're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge . but that they are doing it is thought-provoking ."
pos,"a witty , whimsical feature debut ."
neg,"we never truly come to care about the main characters and whether or not they'll wind up together , and michele's spiritual quest is neither amusing nor dramatic enough to sustain interest ."
